County,NumWereFleeing,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Anderson County,1,0,0,0,2,0
Angelina County,0,1,0,0,0,0
Atascosa County,2,0,1,0,2,0
Austin County,0,0,0,0,1,0
Bell County,2,4,0,0,2,0
Bexar County,17,6,34,0,11,0
Bowie County,0,0,0,0,1,0
Brazoria County,4,1,1,0,8,0
Brazos County,0,0,0,0,1,0
Brewster County,0,0,1,0,0,0
Burnet County,0,0,0,0,1,0
Caldwell County,0,0,1,0,0,0
Cameron County,2,0,6,0,0,0
Carson County,0,0,0,0,0,1
Cass County,0,0,0,0,1,0
Chambers County,1,0,0,0,1,0
Cherokee County,0,0,0,0,1,0
Childress County,1,0,1,0,0,0
Cochran County,1,0,1,0,0,0
Collin County,1,1,1,0,3,0
Cooke County,1,0,0,0,1,0
Dallam County,1,0,0,0,1,0
Dallas County,14,13,8,0,14,1
Deaf Smith County,0,0,1,0,0,0
Denton County,2,4,1,0,4,0
Eastland County,1,0,1,0,0,0
Ector County,4,0,4,0,6,0
El Paso County,7,2,8,0,5,0
Ellis County,2,1,1,0,1,0
Foard County,0,0,0,0,1,0
Fort Bend County,2,3,0,0,2,0
Freestone County,0,0,1,0,0,0
Frio County,0,0,1,0,0,0
Gaines County,0,0,0,0,1,0
Galveston County,3,1,2,0,7,0
Gonzales County,0,1,0,0,0,0
Grayson County,2,1,0,0,2,0
Gregg County,2,2,0,0,4,0
Guadalupe County,3,0,1,0,3,0
Hale County,0,0,1,0,0,0
Hardeman County,0,0,0,0,1,0
Hardin County,0,0,0,0,2,0
Harris County,33,31,23,0,14,2
Harrison County,1,1,0,0,0,0
Hays County,2,0,0,0,3,0
Henderson County,0,0,0,0,0,0
Hidalgo County,4,0,8,0,1,0
Hockley County,0,0,1,0,0,0
Hopkins County,0,0,0,0,1,0
Hudspeth County,1,1,0,0,0,0
Hunt County,0,1,0,0,0,0
Hutchinson County,1,0,1,0,0,0
Jefferson County,2,3,0,0,4,0
Jim Wells County,0,0,0,0,1,0
Kaufman County,2,0,0,0,1,0
Kendall County,1,1,1,0,1,0
Kerr County,1,0,0,0,3,0
Knox County,0,0,0,0,1,0
Lamar County,0,0,1,0,3,0
Lamb County,1,0,1,0,0,0
Lee County,0,1,0,0,0,0
Leon County,1,0,0,0,1,0
Llano County,0,0,0,0,2,0
Lubbock County,2,1,2,0,0,0
Lynn County,1,0,1,0,0,0
Matagorda County,1,1,0,0,0,0
McLennan County,3,2,0,0,3,0
Midland County,1,0,1,1,3,0
Montague County,0,0,0,0,2,0
Montgomery County,2,1,0,0,5,0
Moore County,0,0,0,0,1,0
Nacogdoches County,1,0,0,0,2,0
Nolan County,1,0,0,0,2,0
Nueces County,3,1,6,0,1,0
Panola County,1,1,0,0,0,0
Parker County,3,1,0,0,4,0
Pecos County,1,0,1,0,0,0
Polk County,0,0,0,0,1,0
Potter County,3,0,5,0,3,0
Real County,0,0,0,0,1,0
Red River County,0,1,0,0,0,0
Refugio County,0,1,0,0,0,0
Rockwall County,1,0,1,0,0,0
Runnels County,0,0,0,0,0,0
Rusk County,0,0,0,0,0,0
San Patricio County,0,0,1,0,0,0
Scurry County,0,0,0,0,2,0
Shelby County,0,0,0,0,1,0
Sherman County,1,1,0,0,0,0
Smith County,0,0,1,0,0,0
Starr County,1,1,1,0,0,0
Tarrant County,12,12,9,0,13,1
Taylor County,1,1,0,0,2,0
Tom Green County,2,0,3,0,2,0
Travis County,11,4,9,0,14,1
Trinity County,0,0,0,0,1,0
Upshur County,0,0,0,0,1,0
Val Verde County,0,0,1,0,0,0
Victoria County,0,0,0,0,1,0
Walker County,0,0,0,0,0,0
Waller County,0,1,0,0,1,0
Ward County,0,1,0,0,0,0
Webb County,0,0,5,0,1,0
Wichita County,1,1,1,0,0,0
Wilbarger County,1,0,0,0,0,0
Williamson County,0,0,0,0,2,0
Wilson County,0,0,0,0,1,0
Winkler County,0,0,1,0,0,0
Wood County,0,0,0,0,1,0
